Date,Sector,RiskScore
2018-01-01,Climate,0.4106
2018-01-01,Economy,0.6855
2018-01-01,Trade,0.4742
2018-01-01,Migration,0.5509
2018-01-01,Urban Infrastructure,0.6359
2018-01-01,Social Stability,0.3785
2018-01-01,Geopolitical Sentiment,0.6451
2018-02-01,Climate,0.5428
2018-02-01,Economy,0.4408
2018-02-01,Trade,0.4866
2018-02-01,Migration,0.5756
2018-02-01,Urban Infrastructure,0.4071
2018-02-01,Social Stability,0.5012
2018-02-01,Geopolitical Sentiment,0.3286
2018-03-01,Climate,0.6215
2018-03-01,Economy,0.5117
2018-03-01,Trade,0.4834
2018-03-01,Migration,0.3495
2018-03-01,Urban Infrastructure,0.6461
2018-03-01,Social Stability,0.4470
2018-03-01,Geopolitical Sentiment,0.3785
2018-04-01,Climate,0.6756
2018-04-01,Economy,0.4830
2018-04-01,Trade,0.4043
2018-04-01,Migration,0.5057
2018-04-01,Urban Infrastructure,0.5954
2018-04-01,Social Stability,0.5192
2018-04-01,Geopolitical Sentiment,0.4111
2018-05-01,Climate,0.3062
2018-05-01,Economy,0.4176
2018-05-01,Trade,0.4524
2018-05-01,Migration,0.4643
2018-05-01,Urban Infrastructure,0.6785
2018-05-01,Social Stability,0.4075
2018-05-01,Geopolitical Sentiment,0.4309
2018-06-01,Climate,0.6846
2018-06-01,Economy,0.6288
2018-06-01,Trade,0.4504
2018-06-01,Migration,0.6685
2018-06-01,Urban Infrastructure,0.5727
2018-06-01,Social Stability,0.5353
2018-06-01,Geopolitical Sentiment,0.3982
2018-07-01,Climate,0.6899
2018-07-01,Economy,0.6743
2018-07-01,Trade,0.6016
2018-07-01,Migration,0.4650
2018-07-01,Urban Infrastructure,0.6187
2018-07-01,Social Stability,0.5801
2018-07-01,Geopolitical Sentiment,0.6789
2018-08-01,Climate,0.4301
2018-08-01,Economy,0.4852
2018-08-01,Trade,0.4537
2018-08-01,Migration,0.3881
2018-08-01,Urban Infrastructure,0.6065
2018-08-01,Social Stability,0.6286
2018-08-01,Geopolitical Sentiment,0.3567
2018-09-01,Climate,0.5309
2018-09-01,Economy,0.4617
2018-09-01,Trade,0.5907
2018-09-01,Migration,0.5620
2018-09-01,Urban Infrastructure,0.4708
2018-09-01,Social Stability,0.6834
2018-09-01,Geopolitical Sentiment,0.5752
2018-10-01,Climate,0.6170
2018-10-01,Economy,0.4229
2018-10-01,Trade,0.4920
2018-10-01,Migration,0.5748
2018-10-01,Urban Infrastructure,0.3568
2018-10-01,Social Stability,0.6778
2018-10-01,Geopolitical Sentiment,0.6378
2018-11-01,Climate,0.3689
2018-11-01,Economy,0.6708
2018-11-01,Trade,0.5914
2018-11-01,Migration,0.5430
2018-11-01,Urban Infrastructure,0.6298
2018-11-01,Social Stability,0.5436
2018-11-01,Geopolitical Sentiment,0.6632
2018-12-01,Climate,0.3997
2018-12-01,Economy,0.4951
2018-12-01,Trade,0.5177
2018-12-01,Migration,0.4561
2018-12-01,Urban Infrastructure,0.6904
2018-12-01,Social Stability,0.6914
2018-12-01,Geopolitical Sentiment,0.6061
2019-01-01,Climate,0.3041
2019-01-01,Economy,0.4020
2019-01-01,Trade,0.3531
2019-01-01,Migration,0.6946
2019-01-01,Urban Infrastructure,0.3720
2019-01-01,Social Stability,0.6693
2019-01-01,Geopolitical Sentiment,0.5490
2019-02-01,Climate,0.5005
2019-02-01,Economy,0.3632
2019-02-01,Trade,0.5757
2019-02-01,Migration,0.4671
2019-02-01,Urban Infrastructure,0.3694
2019-02-01,Social Stability,0.5601
2019-02-01,Geopolitical Sentiment,0.6627
2019-03-01,Climate,0.5045
2019-03-01,Economy,0.6616
2019-03-01,Trade,0.5700
2019-03-01,Migration,0.5478
2019-03-01,Urban Infrastructure,0.3275
2019-03-01,Social Stability,0.6383
2019-03-01,Geopolitical Sentiment,0.6773
2019-04-01,Climate,0.6098
2019-04-01,Economy,0.5720
2019-04-01,Trade,0.3075
2019-04-01,Migration,0.3255
2019-04-01,Urban Infrastructure,0.4809
2019-04-01,Social Stability,0.6743
2019-04-01,Geopolitical Sentiment,0.4729
2019-05-01,Climate,0.3242
2019-05-01,Economy,0.3072
2019-05-01,Trade,0.4916
2019-05-01,Migration,0.3656
2019-05-01,Urban Infrastructure,0.4226
2019-05-01,Social Stability,0.3277
2019-05-01,Geopolitical Sentiment,0.6117
2019-06-01,Climate,0.5479
2019-06-01,Economy,0.4054
2019-06-01,Trade,0.3714
2019-06-01,Migration,0.4307
2019-06-01,Urban Infrastructure,0.4059
2019-06-01,Social Stability,0.5039
2019-06-01,Geopolitical Sentiment,0.5499
2019-07-01,Climate,0.4893
2019-07-01,Economy,0.5303
2019-07-01,Trade,0.3263
2019-07-01,Migration,0.3832
2019-07-01,Urban Infrastructure,0.3996
2019-07-01,Social Stability,0.6635
2019-07-01,Geopolitical Sentiment,0.5519
2019-08-01,Climate,0.4284
2019-08-01,Economy,0.4708
2019-08-01,Trade,0.3677
2019-08-01,Migration,0.6990
2019-08-01,Urban Infrastructure,0.6665
2019-08-01,Social Stability,0.6289
2019-08-01,Geopolitical Sentiment,0.4539
2019-09-01,Climate,0.3994
2019-09-01,Economy,0.3705
2019-09-01,Trade,0.6050
2019-09-01,Migration,0.3034
2019-09-01,Urban Infrastructure,0.6633
2019-09-01,Social Stability,0.4158
2019-09-01,Geopolitical Sentiment,0.3372
2019-10-01,Climate,0.4353
2019-10-01,Economy,0.5872
2019-10-01,Trade,0.5790
2019-10-01,Migration,0.3166
2019-10-01,Urban Infrastructure,0.6587
2019-10-01,Social Stability,0.6463
2019-10-01,Geopolitical Sentiment,0.4202
2019-11-01,Climate,0.3496
2019-11-01,Economy,0.3790
2019-11-01,Trade,0.6855
2019-11-01,Migration,0.6593
2019-11-01,Urban Infrastructure,0.5401
2019-11-01,Social Stability,0.5230
2019-11-01,Geopolitical Sentiment,0.5504
2019-12-01,Climate,0.4483
2019-12-01,Economy,0.6743
2019-12-01,Trade,0.6532
2019-12-01,Migration,0.6914
2019-12-01,Urban Infrastructure,0.5412
2019-12-01,Social Stability,0.6866
2019-12-01,Geopolitical Sentiment,0.5975
2020-01-01,Climate,0.6844
2020-01-01,Economy,0.4661
2020-01-01,Trade,0.4884
2020-01-01,Migration,0.3317
2020-01-01,Urban Infrastructure,0.6379
2020-01-01,Social Stability,0.3254
2020-01-01,Geopolitical Sentiment,0.4098
2020-02-01,Climate,0.5248
2020-02-01,Economy,0.4835
2020-02-01,Trade,0.4199
2020-02-01,Migration,0.6169
2020-02-01,Urban Infrastructure,0.3207
2020-02-01,Social Stability,0.6595
2020-02-01,Geopolitical Sentiment,0.6735
2020-03-01,Climate,0.5628
2020-03-01,Economy,0.3295
2020-03-01,Trade,0.5929
2020-03-01,Migration,0.6131
2020-03-01,Urban Infrastructure,0.5254
2020-03-01,Social Stability,0.3663
2020-03-01,Geopolitical Sentiment,0.6941
2020-04-01,Climate,0.3879
2020-04-01,Economy,0.6729
2020-04-01,Trade,0.3634
2020-04-01,Migration,0.4682
2020-04-01,Urban Infrastructure,0.6022
2020-04-01,Social Stability,0.5705
2020-04-01,Geopolitical Sentiment,0.6535
2020-05-01,Climate,0.6505
2020-05-01,Economy,0.3012
2020-05-01,Trade,0.4383
2020-05-01,Migration,0.3368
2020-05-01,Urban Infrastructure,0.6033
2020-05-01,Social Stability,0.3015
2020-05-01,Geopolitical Sentiment,0.4437
2020-06-01,Climate,0.4641
2020-06-01,Economy,0.4249
2020-06-01,Trade,0.4909
2020-06-01,Migration,0.4813
2020-06-01,Urban Infrastructure,0.4315
2020-06-01,Social Stability,0.4139
2020-06-01,Geopolitical Sentiment,0.4913
2020-07-01,Climate,0.3469
2020-07-01,Economy,0.6668
2020-07-01,Trade,0.5500
2020-07-01,Migration,0.3008
2020-07-01,Urban Infrastructure,0.6638
2020-07-01,Social Stability,0.4369
2020-07-01,Geopolitical Sentiment,0.5898
2020-08-01,Climate,0.3293
2020-08-01,Economy,0.3277
2020-08-01,Trade,0.5811
2020-08-01,Migration,0.4740
2020-08-01,Urban Infrastructure,0.3902
2020-08-01,Social Stability,0.6163
2020-08-01,Geopolitical Sentiment,0.6376
2020-09-01,Climate,0.5187
2020-09-01,Economy,0.6814
2020-09-01,Trade,0.4015
2020-09-01,Migration,0.4186
2020-09-01,Urban Infrastructure,0.6053
2020-09-01,Social Stability,0.4936
2020-09-01,Geopolitical Sentiment,0.3640
2020-10-01,Climate,0.5010
2020-10-01,Economy,0.4403
2020-10-01,Trade,0.4502
2020-10-01,Migration,0.5343
2020-10-01,Urban Infrastructure,0.6320
2020-10-01,Social Stability,0.3313
2020-10-01,Geopolitical Sentiment,0.4585
2020-11-01,Climate,0.4005
2020-11-01,Economy,0.6574
2020-11-01,Trade,0.4590
2020-11-01,Migration,0.4665
2020-11-01,Urban Infrastructure,0.6339
2020-11-01,Social Stability,0.4853
2020-11-01,Geopolitical Sentiment,0.6119
2020-12-01,Climate,0.4934
2020-12-01,Economy,0.3937
2020-12-01,Trade,0.6613
2020-12-01,Migration,0.4372
2020-12-01,Urban Infrastructure,0.3069
2020-12-01,Social Stability,0.4803
2020-12-01,Geopolitical Sentiment,0.4512
2021-01-01,Climate,0.6042
2021-01-01,Economy,0.6268
2021-01-01,Trade,0.5140
2021-01-01,Migration,0.3490
2021-01-01,Urban Infrastructure,0.3352
2021-01-01,Social Stability,0.3882
2021-01-01,Geopolitical Sentiment,0.3449
2021-02-01,Climate,0.5115
2021-02-01,Economy,0.5957
2021-02-01,Trade,0.4358
2021-02-01,Migration,0.4073
2021-02-01,Urban Infrastructure,0.4681
2021-02-01,Social Stability,0.6619
2021-02-01,Geopolitical Sentiment,0.6075
2021-03-01,Climate,0.6354
2021-03-01,Economy,0.3884
2021-03-01,Trade,0.3859
2021-03-01,Migration,0.4439
2021-03-01,Urban Infrastructure,0.5426
2021-03-01,Social Stability,0.5322
2021-03-01,Geopolitical Sentiment,0.5348
2021-04-01,Climate,0.3096
2021-04-01,Economy,0.5409
2021-04-01,Trade,0.5206
2021-04-01,Migration,0.4888
2021-04-01,Urban Infrastructure,0.4841
2021-04-01,Social Stability,0.3557
2021-04-01,Geopolitical Sentiment,0.6659
2021-05-01,Climate,0.4367
2021-05-01,Economy,0.3924
2021-05-01,Trade,0.6988
2021-05-01,Migration,0.3346
2021-05-01,Urban Infrastructure,0.3318
2021-05-01,Social Stability,0.3270
2021-05-01,Geopolitical Sentiment,0.3145
2021-06-01,Climate,0.4413
2021-06-01,Economy,0.6721
2021-06-01,Trade,0.6188
2021-06-01,Migration,0.4410
2021-06-01,Urban Infrastructure,0.5510
2021-06-01,Social Stability,0.6991
2021-06-01,Geopolitical Sentiment,0.3145
2021-07-01,Climate,0.4979
2021-07-01,Economy,0.5763
2021-07-01,Trade,0.4451
2021-07-01,Migration,0.4815
2021-07-01,Urban Infrastructure,0.3257
2021-07-01,Social Stability,0.3747
2021-07-01,Geopolitical Sentiment,0.5571
2021-08-01,Climate,0.4174
2021-08-01,Economy,0.4155
2021-08-01,Trade,0.6922
2021-08-01,Migration,0.5417
2021-08-01,Urban Infrastructure,0.4153
2021-08-01,Social Stability,0.6072
2021-08-01,Geopolitical Sentiment,0.6330
2021-09-01,Climate,0.4975
2021-09-01,Economy,0.6012
2021-09-01,Trade,0.5552
2021-09-01,Migration,0.5496
2021-09-01,Urban Infrastructure,0.3056
2021-09-01,Social Stability,0.4579
2021-09-01,Geopolitical Sentiment,0.3005
2021-10-01,Climate,0.6340
2021-10-01,Economy,0.6997
2021-10-01,Trade,0.6252
2021-10-01,Migration,0.3316
2021-10-01,Urban Infrastructure,0.3319
2021-10-01,Social Stability,0.3483
2021-10-01,Geopolitical Sentiment,0.3107
2021-11-01,Climate,0.3803
2021-11-01,Economy,0.4415
2021-11-01,Trade,0.4313
2021-11-01,Migration,0.4661
2021-11-01,Urban Infrastructure,0.5510
2021-11-01,Social Stability,0.5401
2021-11-01,Geopolitical Sentiment,0.5345
2021-12-01,Climate,0.6252
2021-12-01,Economy,0.3593
2021-12-01,Trade,0.6931
2021-12-01,Migration,0.5800
2021-12-01,Urban Infrastructure,0.4765
2021-12-01,Social Stability,0.4462
2021-12-01,Geopolitical Sentiment,0.5039
2022-01-01,Climate,0.3245
2022-01-01,Economy,0.5988
2022-01-01,Trade,0.5705
2022-01-01,Migration,0.4343
2022-01-01,Urban Infrastructure,0.4071
2022-01-01,Social Stability,0.4389
2022-01-01,Geopolitical Sentiment,0.4566
2022-02-01,Climate,0.5403
2022-02-01,Economy,0.3489
2022-02-01,Trade,0.5506
2022-02-01,Migration,0.3738
2022-02-01,Urban Infrastructure,0.4137
2022-02-01,Social Stability,0.3836
2022-02-01,Geopolitical Sentiment,0.4362
2022-03-01,Climate,0.4172
2022-03-01,Economy,0.6090
2022-03-01,Trade,0.5745
2022-03-01,Migration,0.5637
2022-03-01,Urban Infrastructure,0.5566
2022-03-01,Social Stability,0.5410
2022-03-01,Geopolitical Sentiment,0.6248
2022-04-01,Climate,0.6673
2022-04-01,Economy,0.3640
2022-04-01,Trade,0.6912
2022-04-01,Migration,0.4740
2022-04-01,Urban Infrastructure,0.3726
2022-04-01,Social Stability,0.5713
2022-04-01,Geopolitical Sentiment,0.4186
2022-05-01,Climate,0.4977
2022-05-01,Economy,0.3998
2022-05-01,Trade,0.5542
2022-05-01,Migration,0.4325
2022-05-01,Urban Infrastructure,0.6389
2022-05-01,Social Stability,0.5795
2022-05-01,Geopolitical Sentiment,0.5296
2022-06-01,Climate,0.3901
2022-06-01,Economy,0.4927
2022-06-01,Trade,0.4383
2022-06-01,Migration,0.4768
2022-06-01,Urban Infrastructure,0.6745
2022-06-01,Social Stability,0.4472
2022-06-01,Geopolitical Sentiment,0.6205
2022-07-01,Climate,0.5613
2022-07-01,Economy,0.4678
2022-07-01,Trade,0.4159
2022-07-01,Migration,0.5324
2022-07-01,Urban Infrastructure,0.3181
2022-07-01,Social Stability,0.4831
2022-07-01,Geopolitical Sentiment,0.6354
2022-08-01,Climate,0.4794
2022-08-01,Economy,0.6652
2022-08-01,Trade,0.4949
2022-08-01,Migration,0.5316
2022-08-01,Urban Infrastructure,0.4348
2022-08-01,Social Stability,0.6380
2022-08-01,Geopolitical Sentiment,0.5225
2022-09-01,Climate,0.3005
2022-09-01,Economy,0.5042
2022-09-01,Trade,0.5053
2022-09-01,Migration,0.6360
2022-09-01,Urban Infrastructure,0.3624
2022-09-01,Social Stability,0.6372
2022-09-01,Geopolitical Sentiment,0.3130
2022-10-01,Climate,0.6719
2022-10-01,Economy,0.5513
2022-10-01,Trade,0.3918
2022-10-01,Migration,0.4525
2022-10-01,Urban Infrastructure,0.3703
2022-10-01,Social Stability,0.5301
2022-10-01,Geopolitical Sentiment,0.6956
2022-11-01,Climate,0.3027
2022-11-01,Economy,0.6303
2022-11-01,Trade,0.3926
2022-11-01,Migration,0.3139
2022-11-01,Urban Infrastructure,0.6281
2022-11-01,Social Stability,0.3406
2022-11-01,Geopolitical Sentiment,0.3338
2022-12-01,Climate,0.6784
2022-12-01,Economy,0.4378
2022-12-01,Trade,0.5520
2022-12-01,Migration,0.3795
2022-12-01,Urban Infrastructure,0.4383
2022-12-01,Social Stability,0.4995
2022-12-01,Geopolitical Sentiment,0.4568
2023-01-01,Climate,0.6007
2023-01-01,Economy,0.5090
2023-01-01,Trade,0.5749
2023-01-01,Migration,0.4135
2023-01-01,Urban Infrastructure,0.3963
2023-01-01,Social Stability,0.4290
2023-01-01,Geopolitical Sentiment,0.6974
2023-02-01,Climate,0.6445
2023-02-01,Economy,0.5582
2023-02-01,Trade,0.4911
2023-02-01,Migration,0.6113
2023-02-01,Urban Infrastructure,0.6370
2023-02-01,Social Stability,0.3399
2023-02-01,Geopolitical Sentiment,0.4990
2023-03-01,Climate,0.3688
2023-03-01,Economy,0.4885
2023-03-01,Trade,0.3508
2023-03-01,Migration,0.5660
2023-03-01,Urban Infrastructure,0.4545
2023-03-01,Social Stability,0.3043
2023-03-01,Geopolitical Sentiment,0.3552
2023-04-01,Climate,0.6467
2023-04-01,Economy,0.3216
2023-04-01,Trade,0.4372
2023-04-01,Migration,0.4801
2023-04-01,Urban Infrastructure,0.5092
2023-04-01,Social Stability,0.6519
2023-04-01,Geopolitical Sentiment,0.3056
2023-05-01,Climate,0.3170
2023-05-01,Economy,0.4803
2023-05-01,Trade,0.6755
2023-05-01,Migration,0.4630
2023-05-01,Urban Infrastructure,0.5301
2023-05-01,Social Stability,0.3436
2023-05-01,Geopolitical Sentiment,0.4030
2023-06-01,Climate,0.5954
2023-06-01,Economy,0.6090
2023-06-01,Trade,0.5098
2023-06-01,Migration,0.6457
2023-06-01,Urban Infrastructure,0.3603
2023-06-01,Social Stability,0.5655
2023-06-01,Geopolitical Sentiment,0.6667
2023-07-01,Climate,0.5326
2023-07-01,Economy,0.5100
2023-07-01,Trade,0.6758
2023-07-01,Migration,0.6916
2023-07-01,Urban Infrastructure,0.3142
2023-07-01,Social Stability,0.4059
2023-07-01,Geopolitical Sentiment,0.6923
2023-08-01,Climate,0.5373
2023-08-01,Economy,0.3938
2023-08-01,Trade,0.4748
2023-08-01,Migration,0.6021
2023-08-01,Urban Infrastructure,0.5610
2023-08-01,Social Stability,0.6773
2023-08-01,Geopolitical Sentiment,0.6270
2023-09-01,Climate,0.5796
2023-09-01,Economy,0.3067
2023-09-01,Trade,0.4789
2023-09-01,Migration,0.3231
2023-09-01,Urban Infrastructure,0.6841
2023-09-01,Social Stability,0.5390
2023-09-01,Geopolitical Sentiment,0.5650
2023-10-01,Climate,0.6614
2023-10-01,Economy,0.3631
2023-10-01,Trade,0.6732
2023-10-01,Migration,0.4173
2023-10-01,Urban Infrastructure,0.4613
2023-10-01,Social Stability,0.4865
2023-10-01,Geopolitical Sentiment,0.3550
2023-11-01,Climate,0.3377
2023-11-01,Economy,0.3001
2023-11-01,Trade,0.4157
2023-11-01,Migration,0.3916
2023-11-01,Urban Infrastructure,0.4780
2023-11-01,Social Stability,0.4023
2023-11-01,Geopolitical Sentiment,0.4866
2023-12-01,Climate,0.3942
2023-12-01,Economy,0.4978
2023-12-01,Trade,0.3791
2023-12-01,Migration,0.5242
2023-12-01,Urban Infrastructure,0.4111
2023-12-01,Social Stability,0.4631
2023-12-01,Geopolitical Sentiment,0.4041
2024-01-01,Climate,0.4652
2024-01-01,Economy,0.5218
2024-01-01,Trade,0.5100
2024-01-01,Migration,0.6446
2024-01-01,Urban Infrastructure,0.6673
2024-01-01,Social Stability,0.5028
2024-01-01,Geopolitical Sentiment,0.5858
2024-02-01,Climate,0.6807
2024-02-01,Economy,0.6734
2024-02-01,Trade,0.4524
2024-02-01,Migration,0.3374
2024-02-01,Urban Infrastructure,0.4337
2024-02-01,Social Stability,0.5721
2024-02-01,Geopolitical Sentiment,0.5028
2024-03-01,Climate,0.5005
2024-03-01,Economy,0.6343
2024-03-01,Trade,0.3998
2024-03-01,Migration,0.5995
2024-03-01,Urban Infrastructure,0.3681
2024-03-01,Social Stability,0.4160
2024-03-01,Geopolitical Sentiment,0.5904
2024-04-01,Climate,0.5367
2024-04-01,Economy,0.3485
2024-04-01,Trade,0.5183
2024-04-01,Migration,0.4976
2024-04-01,Urban Infrastructure,0.5159
2024-04-01,Social Stability,0.4132
2024-04-01,Geopolitical Sentiment,0.5547
2024-05-01,Climate,0.4969
2024-05-01,Economy,0.3190
2024-05-01,Trade,0.3423
2024-05-01,Migration,0.5885
2024-05-01,Urban Infrastructure,0.4551
2024-05-01,Social Stability,0.5966
2024-05-01,Geopolitical Sentiment,0.4653
2024-06-01,Climate,0.5606
2024-06-01,Economy,0.4210
2024-06-01,Trade,0.6297
2024-06-01,Migration,0.5361
2024-06-01,Urban Infrastructure,0.4431
2024-06-01,Social Stability,0.4538
2024-06-01,Geopolitical Sentiment,0.4677
2024-07-01,Climate,0.4864
2024-07-01,Economy,0.4935
2024-07-01,Trade,0.3038
2024-07-01,Migration,0.4615
2024-07-01,Urban Infrastructure,0.6730
2024-07-01,Social Stability,0.5287
2024-07-01,Geopolitical Sentiment,0.5403
2024-08-01,Climate,0.3940
2024-08-01,Economy,0.4337
2024-08-01,Trade,0.6536
2024-08-01,Migration,0.3407
2024-08-01,Urban Infrastructure,0.4719
2024-08-01,Social Stability,0.6860
2024-08-01,Geopolitical Sentiment,0.3570
2024-09-01,Climate,0.4237
2024-09-01,Economy,0.5828
2024-09-01,Trade,0.6344
2024-09-01,Migration,0.6716
2024-09-01,Urban Infrastructure,0.5151
2024-09-01,Social Stability,0.4941
2024-09-01,Geopolitical Sentiment,0.6121
2024-10-01,Climate,0.3868
2024-10-01,Economy,0.5684
2024-10-01,Trade,0.3775
2024-10-01,Migration,0.3469
2024-10-01,Urban Infrastructure,0.4391
2024-10-01,Social Stability,0.3809
2024-10-01,Geopolitical Sentiment,0.5885
2024-11-01,Climate,0.6170
2024-11-01,Economy,0.4961
2024-11-01,Trade,0.6166
2024-11-01,Migration,0.4007
2024-11-01,Urban Infrastructure,0.3426
2024-11-01,Social Stability,0.4950
2024-11-01,Geopolitical Sentiment,0.4770
2024-12-01,Climate,0.4055
2024-12-01,Economy,0.5636
2024-12-01,Trade,0.4025
2024-12-01,Migration,0.3701
2024-12-01,Urban Infrastructure,0.6741
2024-12-01,Social Stability,0.4120
2024-12-01,Geopolitical Sentiment,0.3425
2025-01-01,Climate,0.4762
2025-01-01,Economy,0.5527
2025-01-01,Trade,0.4506
2025-01-01,Migration,0.4789
2025-01-01,Urban Infrastructure,0.4888
2025-01-01,Social Stability,0.3434
2025-01-01,Geopolitical Sentiment,0.4495
2025-02-01,Climate,0.4817
2025-02-01,Economy,0.3501
2025-02-01,Trade,0.3887
2025-02-01,Migration,0.5071
2025-02-01,Urban Infrastructure,0.4182
2025-02-01,Social Stability,0.4050
2025-02-01,Geopolitical Sentiment,0.6394
2025-03-01,Climate,0.4514
2025-03-01,Economy,0.6524
2025-03-01,Trade,0.4887
2025-03-01,Migration,0.5764
2025-03-01,Urban Infrastructure,0.4354
2025-03-01,Social Stability,0.6601
2025-03-01,Geopolitical Sentiment,0.6980
2025-04-01,Climate,0.5929
2025-04-01,Economy,0.3328
2025-04-01,Trade,0.6425
2025-04-01,Migration,0.4782
2025-04-01,Urban Infrastructure,0.4722
2025-04-01,Social Stability,0.3905
2025-04-01,Geopolitical Sentiment,0.6196
2025-05-01,Climate,0.5576
2025-05-01,Economy,0.5129
2025-05-01,Trade,0.6876
2025-05-01,Migration,0.3377
2025-05-01,Urban Infrastructure,0.4591
2025-05-01,Social Stability,0.5878
