Region,Lat,Lng,Year,SystemicRisk,RiskLevel
Maharashtra,19.7515,75.7139,2018,0.3853,Low
Maharashtra,19.7515,75.7139,2019,0.7956,High
Maharashtra,19.7515,75.7139,2020,0.3606,Low
Maharashtra,19.7515,75.7139,2021,0.6784,High
Maharashtra,19.7515,75.7139,2022,0.6536,High
Maharashtra,19.7515,75.7139,2023,0.5866,Medium
Maharashtra,19.7515,75.7139,2024,0.7604,High
Maharashtra,19.7515,75.7139,2025,0.4883,Medium
Uttar Pradesh,26.8467,80.9462,2018,0.7028,High
Uttar Pradesh,26.8467,80.9462,2019,0.3680,Low
Uttar Pradesh,26.8467,80.9462,2020,0.3013,Low
Uttar Pradesh,26.8467,80.9462,2021,0.3153,Low
Uttar Pradesh,26.8467,80.9462,2022,0.6968,High
Uttar Pradesh,26.8467,80.9462,2023,0.2407,Low
Uttar Pradesh,26.8467,80.9462,2024,0.5954,Medium
Uttar Pradesh,26.8467,80.9462,2025,0.5328,Medium
Karnataka,15.3173,75.7139,2018,0.4746,Medium
Karnataka,15.3173,75.7139,2019,0.3410,Low
Karnataka,15.3173,75.7139,2020,0.6927,High
Karnataka,15.3173,75.7139,2021,0.4630,Medium
Karnataka,15.3173,75.7139,2022,0.4133,Medium
Karnataka,15.3173,75.7139,2023,0.5166,Medium
Karnataka,15.3173,75.7139,2024,0.4144,Medium
Karnataka,15.3173,75.7139,2025,0.3528,Low
Tamil Nadu,11.1271,78.6569,2018,0.6844,High
Tamil Nadu,11.1271,78.6569,2019,0.5705,Medium
Tamil Nadu,11.1271,78.6569,2020,0.3522,Low
Tamil Nadu,11.1271,78.6569,2021,0.7176,High
Tamil Nadu,11.1271,78.6569,2022,0.4184,Medium
Tamil Nadu,11.1271,78.6569,2023,0.2103,Low
Tamil Nadu,11.1271,78.6569,2024,0.2279,Low
Tamil Nadu,11.1271,78.6569,2025,0.4021,Medium
West Bengal,22.9868,87.855,2018,0.2499,Low
West Bengal,22.9868,87.855,2019,0.6220,High
West Bengal,22.9868,87.855,2020,0.5502,Medium
West Bengal,22.9868,87.855,2021,0.5337,Medium
West Bengal,22.9868,87.855,2022,0.2049,Low
West Bengal,22.9868,87.855,2023,0.7773,High
West Bengal,22.9868,87.855,2024,0.7389,High
West Bengal,22.9868,87.855,2025,0.7482,High
Gujarat,22.2587,71.1924,2018,0.3495,Low
Gujarat,22.2587,71.1924,2019,0.3714,Low
Gujarat,22.2587,71.1924,2020,0.6267,High
Gujarat,22.2587,71.1924,2021,0.3836,Low
Gujarat,22.2587,71.1924,2022,0.2770,Low
Gujarat,22.2587,71.1924,2023,0.5676,Medium
Gujarat,22.2587,71.1924,2024,0.7502,High
Gujarat,22.2587,71.1924,2025,0.5586,Medium
Rajasthan,27.0238,74.2179,2018,0.6846,High
Rajasthan,27.0238,74.2179,2019,0.2496,Low
Rajasthan,27.0238,74.2179,2020,0.5173,Medium
Rajasthan,27.0238,74.2179,2021,0.2455,Low
Rajasthan,27.0238,74.2179,2022,0.3122,Low
Rajasthan,27.0238,74.2179,2023,0.6328,High
Rajasthan,27.0238,74.2179,2024,0.3005,Low
Rajasthan,27.0238,74.2179,2025,0.3093,Low
Kerala,10.8505,76.2711,2018,0.4662,Medium
Kerala,10.8505,76.2711,2019,0.4348,Medium
Kerala,10.8505,76.2711,2020,0.2832,Low
Kerala,10.8505,76.2711,2021,0.7749,High
Kerala,10.8505,76.2711,2022,0.5910,Medium
Kerala,10.8505,76.2711,2023,0.2382,Low
Kerala,10.8505,76.2711,2024,0.4255,Medium
Kerala,10.8505,76.2711,2025,0.3794,Low
Punjab,31.1471,75.3412,2018,0.7690,High
Punjab,31.1471,75.3412,2019,0.4580,Medium
Punjab,31.1471,75.3412,2020,0.4831,Medium
Punjab,31.1471,75.3412,2021,0.2402,Low
Punjab,31.1471,75.3412,2022,0.4946,Medium
Punjab,31.1471,75.3412,2023,0.5332,Medium
Punjab,31.1471,75.3412,2024,0.3126,Low
Punjab,31.1471,75.3412,2025,0.7124,High
Madhya Pradesh,22.9734,78.6569,2018,0.5778,Medium
Madhya Pradesh,22.9734,78.6569,2019,0.3411,Low
Madhya Pradesh,22.9734,78.6569,2020,0.3788,Low
Madhya Pradesh,22.9734,78.6569,2021,0.7143,High
Madhya Pradesh,22.9734,78.6569,2022,0.6956,High
Madhya Pradesh,22.9734,78.6569,2023,0.7050,High
Madhya Pradesh,22.9734,78.6569,2024,0.2006,Low
Madhya Pradesh,22.9734,78.6569,2025,0.4988,Medium
