Region,Lat,Lng,Year,SystemicRisk,RiskLevel
North America,45,-100,2020,0.2399,Low
North America,45,-100,2021,0.4243,Medium
North America,45,-100,2022,0.8821,High
North America,45,-100,2023,0.4352,Medium
North America,45,-100,2024,0.4304,Medium
North America,45,-100,2025,0.6110,Medium
North America,45,-100,2026,0.4688,Medium
South America,-15,-60,2020,0.5218,Medium
South America,-15,-60,2021,0.4312,Medium
South America,-15,-60,2022,0.1993,Low
South America,-15,-60,2023,0.2206,Low
South America,-15,-60,2024,0.1025,Low
South America,-15,-60,2025,0.4823,Medium
South America,-15,-60,2026,0.1736,Low
Europe,50,10,2020,0.4623,Medium
Europe,50,10,2021,0.7186,High
Europe,50,10,2022,0.1982,Low
Europe,50,10,2023,0.4861,Medium
Europe,50,10,2024,0.4355,Medium
Europe,50,10,2025,0.1594,Low
Europe,50,10,2026,0.2647,Low
Africa,0,20,2020,0.8741,High
Africa,0,20,2021,0.6192,Medium
Africa,0,20,2022,0.8625,High
Africa,0,20,2023,0.5807,Medium
Africa,0,20,2024,0.1416,Low
Africa,0,20,2025,0.4958,Medium
Africa,0,20,2026,0.8202,High
Asia,35,100,2020,0.2210,Low
Asia,35,100,2021,0.6618,High
Asia,35,100,2022,0.8978,High
Asia,35,100,2023,0.4710,Medium
Asia,35,100,2024,0.3220,Low
Asia,35,100,2025,0.6972,High
Asia,35,100,2026,0.8098,High
Oceania,-25,135,2020,0.6874,High
Oceania,-25,135,2021,0.8718,High
Oceania,-25,135,2022,0.8623,High
Oceania,-25,135,2023,0.6203,Medium
Oceania,-25,135,2024,0.2248,Low
Oceania,-25,135,2025,0.8816,High
Oceania,-25,135,2026,0.5570,Medium
