Region,Year,SystemicRisk
(I) Bad (CT),2018,0.6619681266416704
(I) Bad (CT),2019,0.6619167393985343
(I) Bad (CT),2020,0.6618809200791262
(I) Bad (CT),2021,0.6619132510539857
(I) Kakarmatta (CT),2018,0.6619681266416704
(I) Kakarmatta (CT),2019,0.6619167393985343
(I) Kakarmatta (CT),2020,0.6618809200791262
(I) Kakarmatta (CT),2021,0.6619132510539857
(I) Kaulakha (CT),2018,0.6619681266416704
(I) Kaulakha (CT),2019,0.6619167393985343
(I) Kaulakha (CT),2020,0.6618809200791262
(I) Kaulakha (CT),2021,0.6619132510539857
(I) Neripperichal (CT),2018,0.6619681266416704
(I) Neripperichal (CT),2019,0.6619167393985343
(I) Neripperichal (CT),2020,0.6618809200791262
(I) Neripperichal (CT),2021,0.6619132510539857
(I) Udhagamandalam (M),2018,0.6619681266416704
(I) Udhagamandalam (M),2019,0.6619167393985343
(I) Udhagamandalam (M),2020,0.6618809200791262
(I) Udhagamandalam (M),2021,0.6619132510539857
(a)  Baripada Town (M+OG),2018,0.6619681266416704
(a)  Baripada Town (M+OG),2019,0.6619167393985343
(a)  Baripada Town (M+OG),2020,0.6618809200791262
(a)  Baripada Town (M+OG),2021,0.6619132510539857
(a) Adilabad (M),2018,0.6619681266416704
(a) Adilabad (M),2019,0.6619167393985343
(a) Adilabad (M),2020,0.6618809200791262
(a) Adilabad (M),2021,0.6619132510539857
(a) Adoni (M+OG),2018,0.6619681266416704
(a) Adoni (M+OG),2019,0.6619167393985343
(a) Adoni (M+OG),2020,0.6618809200791262
(a) Adoni (M+OG),2021,0.6619132510539857
(a) Agra (M Corp.),2018,0.6619681266416704
(a) Agra (M Corp.),2019,0.6619167393985343
(a) Agra (M Corp.),2020,0.6618809200791262
(a) Agra (M Corp.),2021,0.6619132510539857
(a) Ahmadabad (M Corp.+OG),2018,0.6619681266416704
(a) Ahmadabad (M Corp.+OG),2019,0.6619167393985343
(a) Ahmadabad (M Corp.+OG),2020,0.6618809200791262
(a) Ahmadabad (M Corp.+OG),2021,0.6619132510539857
(a) Ahmadnagar (M Corp.),2018,0.6619681266416704
(a) Ahmadnagar (M Corp.),2019,0.6619167393985343
(a) Ahmadnagar (M Corp.),2020,0.6618809200791262
(a) Ahmadnagar (M Corp.),2021,0.6619132510539857
(a) Ajmer (M Corp.),2018,0.6619681266416704
(a) Ajmer (M Corp.),2019,0.6619167393985343
(a) Ajmer (M Corp.),2020,0.6618809200791262
(a) Ajmer (M Corp.),2021,0.6619132510539857
(a) Alappuzha (M+OG),2018,0.6619681266416704
(a) Alappuzha (M+OG),2019,0.6619167393985343
(a) Alappuzha (M+OG),2020,0.6618809200791262
(a) Alappuzha (M+OG),2021,0.6619132510539857
(a) Aligarh (M Corp.),2018,0.6619681266416704
(a) Aligarh (M Corp.),2019,0.6619167393985343
(a) Aligarh (M Corp.),2020,0.6618809200791262
(a) Aligarh (M Corp.),2021,0.6619132510539857
(a) Alipurduar (M),2018,0.6619681266416704
(a) Alipurduar (M),2019,0.6619167393985343
(a) Alipurduar (M),2020,0.6618809200791262
(a) Alipurduar (M),2021,0.6619132510539857
(a) Allahabad (M Corp.+OG),2018,0.6619681266416704
(a) Allahabad (M Corp.+OG),2019,0.6619167393985343
(a) Allahabad (M Corp.+OG),2020,0.6618809200791262
(a) Allahabad (M Corp.+OG),2021,0.6619132510539857
(a) Alwar (M Cl+OG),2018,0.6619681266416704
(a) Alwar (M Cl+OG),2019,0.6619167393985343
(a) Alwar (M Cl+OG),2020,0.6618809200791262
